전씨	전/NNP+씨/NNB
맥없이	맥없이/MAG
쭈그리고	쭈그리/VV+고/EC
앉았으나	앉/VV+았/EP+으나/EC
犯人같은	犯人/SH+같/VA+은/ETM
태도는	태도/NNG+는/JX
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF

빨간돈은	빨갛/VA+ㄴ/ETM+돈/NNG+은/JX
과거	과거/NNG
사회주의	사회주의/NNG
국가들을	국가/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
사용됐었다.	사용/NNG+되/XSV+었었/EP+다/EF+./SF

어땠니,	어떻/VA+었/EP+니/EC+,/SP
재미있었고……	재미있/VA+었/EP+고/EC+……/SE
응	응/IC
학교가……"	학교/NNG+가/JKS+……/SE+"/SS
수라는	수라/NNP+는/JX
말이	말/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF

마침	마침/MAG
내	나/NP+의/JKG
옆에	옆/NNG+에/JKB
원산에서	원산/NNP+에서/JKB
인민학교	인민학교/NNG
교장을	교장/NNG+을/JKO
하는	하/VV+는/ETM
중년	중년/NNG
남자가	남자/NNG+가/JKS
앉아	앉/VV+아/EC
있었는데	있/VX+었/EP+는데/EC
이야기를	이야기/NNG+를/JKO
하다	하/VV+다/EC
보니	보/VX+니/EC
아파트에	아파트/NNG+에/JKB
두	두/MM
부부만	부부/NNG+만/JX
살고	살/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF

파스칼	파스칼/NNP
2세(재위:	2/SN+세/NNB+(/SS+재위/NNG+:/SP
1099~1118)가	1099/SN+~/SO+1118/SN+)/SS+가/JKS
교황에	교황/NNG+에/JKB
선출된	선출/NNG+되/XSV+ㄴ/ETM
지	지/NNB
1년	1/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
1100년에	1100/SN+년/NNB+에/JKB
영국에서	영국/NNP+에서/JKB
헨리1세(1100~1135)가	헨리/NNP+1/SN+세/NNB+(/SS+1100/SN+~/SO+1135/SN+)/SS+가/JKS
등장하면서	등장/NNG+하/XSV+면서/EC
평신도의	평신도/NNG+의/JKG
성직서임권	성직/NNG+서임/NNG+권/XSN
논쟁이	논쟁/NNG+이/JKS
일어났다.	일어나/VV+았/EP+다/EF+./SF

작년	작년/NNG
여름	여름/NNG
시프린스호의	시프린스호/NNP+의/JKG
기름유출사건	기름/NNG+유출/NNG+사건/NNG
후	후/NNG
무마조로	무마/NNG+조/NNB+로/JKB
관련회사로부터	관련/NNG+회사/NNG+로부터/JKB
군수	군수/NNG
·	·/SP
서장	서장/NNG
등이	등/NNB+이/JKS
뇌물을	뇌물/NNG+을/JKO
받았음이	받/VV+았/EP+음/ETN+이/JKS
드러났을	드러나/VV+았/EP+을/ETM
때	때/NNG
신	신/NNP
의원은	의원/NNG+은/JX
{단	{/SS+단/MM
한푼도	한/MM+푼/NNB+도/JX
받은	받/VV+은/ETM
적이	적/NNB+이/JKS
없다}고	없/VA+다/EC+}/SS+고/JKQ
결백을	결백/NNG+을/JKO
주장했었다.	주장/NNG+하/XSV+았었/EP+다/EF+./SF

이	이/MM
신문은	신문/NNG+은/JX
경제기획청의	경제기획청/NNG+의/JKG
지난해	지난해/NNG
11월	11/SN+월/NNB
경기동향지수를	경기/NNG+동향/NNG+지수/NNG+를/JKO
인용,	인용/NNG+,/SP
수개월	수개월/NNG
앞의	앞/NNG+의/JKG
경기를	경기/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
선행지수가	선행/NNG+지수/NNG+가/JKS
60%에	60/SN+%/SW+에/JKB
달하는	달하/VV+는/ETM
등	등/NNB
경기판단의	경기/NNG+판단/NNG+의/JKG
기준선인	기준선/NNG+이/VCP+ㄴ/ETM
50%를	50/SN+%/SW+를/JKO
2개월	2/SN+개월/NNB
연속	연속/NNG
넘어섰다며	넘어서/VV+었/EP+다며/EC
이같이	이/NP+같이/JKB
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF

산이	산/NNG+이/JKS
너무	너무/MAG
많고	많/VA+고/EC
들이	들/NNG+이/JKS
좁아	좁/VA+아/EC
경지	경지/NNG
면적이	면적/NNG+이/JKS
적고,	적/VA+고/EC+,/SP
비가	비/NNG+가/JKS
여름에만	여름/NNG+에/JKB+만/JX
몰아내려	몰아내/VV+려/EC
강의	강/NNG+의/JKG
범람을	범람/NNG+을/JKO
자초하고,	자초/NNG+하/XSV+고/EC+,/SP
겨울에는	겨울/NNG+에/JKB+는/JX
작물을	작물/NNG+을/JKO
재배할	재배/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF

물갈이	물갈이/NNG
폭이	폭/NNG+이/JKS
클	크/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
수도권에서	수도/NNG+권/XSN+에서/JKB
계보의원들의	계보/NNG+의원/NNG+들/XSN+의/JKG
수성작전에도	수성/NNG+작전/NNG+에/JKB+도/JX
일조를	일조/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF

졸업과	졸업/NNG+과/JKB
동시에	동시/NNG+에/JKB
기숙사를	기숙사/NNG+를/JKO
떠난	떠나/VV+ㄴ/ETM
후	후/NNG
한동안	한동안/NNG
소식이	소식/NNG+이/JKS
없더니	없/VA+더니/EC
하루는	하루/NNG+는/JX
석양무렵에	석양/NNG+무렵/NNB+에/JKB
나의	나/NP+의/JKG
방을	방/NNG+을/JKO
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF

마음껏	마음껏/MAG
개성을	개성/NNG+을/JKO
발휘하면	발휘/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF

《한국소설의	《/SS+한국/NNP+소설/NNG+의/JKG
이론》과	이론/NNG+》/SS+과/JC
《한국문학사상사시론》에서	《/SS+한국문학사상사시론/NNP+》/SS+에서/JKB
한	하/VV+ㄴ/ETM
작업을	작업/NNG+을/JKO
더욱	더욱/MAG
발전시킨	발전/NNG+시키/XSV+ㄴ/ETM
일련의	일련/NNG+의/JKG
연구를	연구/NNG+를/JKO
《문학사와	《/SS+문학사/NNG+와/JC
철학사의	철학사/NNG+의/JKG
관련	관련/NNG
양상》(한샘출판,	양상/NNG+》/SS+(/SS+한샘출판/NNP+,/SP
1992)으로	1992/SN+)/SS+으로/JKB
집약했다.	집약/NNG+하/XSV+았/EP+다/EF+./SF

우리에	우리/NP+에/JKB
대한	대하/VV+ㄴ/ETM
식량	식량/NNG
배급량은	배급량/NNG+은/JX
하루	하루/NNG
백미	백미/NNG
700g이었다.	700/SN+g/SW+이/VCP+었/EP+다/EF+./SF

천리안·하이텔의	천리안/NNP+·/SP+하이텔/NNP+의/JKG
공공정보	공공/NNG+정보/NNG
서비스	서비스/NNG
코너를	코너/NNG+를/JKO
이용하여	이용/NNG+하/XSV+아/EC
전국	전국/NNG
어디서든	어디/NP+서/JKB+이/VCP+든/EC
호적초본이나	호적/NNG+초본/NNG+이나/JC
토지대장을	토지/NNG+대장/NNG+을/JKO
뗄	떼/VV+ㄹ/ETM
수	수/NNB
있고	있/VV+고/EC
은행이나	은행/NNG+이나/JC
백화점에	백화점/NNG+에/JKB
가지	가/VV+지/EC
않고도	않/VX+고/EC+도/JX
돈을	돈/NNG+을/JKO
이체하고	이체/NNG+하/XSV+고/EC
물건을	물건/NNG+을/JKO
주문하는	주문/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
가능한	가능/XR+하/XSA+ㄴ/ETM
시대가	시대/NNG+가/JKC
되었다.	되/VV+었/EP+다/EF+./SF

정책의	정책/NNG+의/JKG
부처간	부처/NNG+간/NNB
마찰도	마찰/NNG+도/JX
원만한	원만/XR+하/XSA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
정리돼야	정리/NNG+되/XSV+어야/EC
할	하/VX+ㄹ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF

지난	지나/VV+ㄴ/ETM
16일과	16/SN+일/NNB+과/JC
23일	23/SN+일/NNB
워싱턴	워싱턴/NNP
포스트지에	포스트지/NNP+에/JKB
각각	각각/MAG
대규모	대/XPN+규모/NNG
공습계획	공습/NNG+계획/NNG
및	및/MAJ
'4면	'/SS+4/SN+면/NNG
공격	공격/NNG
계획'이	계획/NNG+'/SS+이/JKS
크게	크/VA+게/EC
보도된	보도/NNG+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
어쩌면	어쩌면/MAG
미	미/NNP
행정부가	행정부/NNG+가/JKS
그	그/NP
같은	같/VA+은/ETM
압력	압력/NNG
수단의	수단/NNG+의/JKG
하나로	하나/NR+로/JKB
일부러	일부러/MAG
그	그/NP
같은	같/VA+은/ETM
이야기를	이야기/NNG+를/JKO
유출시켰기	유출/NNG+시키/XSV+었/EP+기/ETN
때문일지도	때문/NNB+이/VCP+ㄹ지/EC+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF

특히	특히/MAG
후방부	후방부/NNG
언니는	언니/NNG+는/JX
나만	나/NP+만/JX
따로	따로/MAG
불러내어	불러내/VV+어/EC
사탕을	사탕/NNG+을/JKO
주거나	주/VV+거나/EC
강냉이를	강냉이/NNG+를/JKO
쪄주었다.	찌/VV+어/EC+주/VX+었/EP+다/EF+./SF

그러니까	그러니까/MAJ
추첨이	추첨/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
거요.	거/NNB+이/VCP+오/EF+./SF

스스로	스스로/MAG
생각하기에도	생각/NNG+하/XSV+기/ETN+에/JKB+도/JX
놀라울	놀랍/VA+ㄹ/ETM
만큼	만큼/NNB
빈틈없는	빈틈없/VA+는/ETM
수행이었다.	수행/NNG+이/VCP+었/EP+다/EF+./SF

그리고	그리고/MAJ
아까보다	아까/NNG+보다/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
한숨을	한숨/NNG+을/JKO
푸우	푸우/IC
하고	하/VV+고/EC
내뱉는다.	내뱉/VV+는다/EF+./SF

그	그/MM
점을	점/NNB+을/JKO
더욱	더욱/MAG
명확하게	명확/XR+하/XSA+게/EC
하기	하/VX+기/ETN
위해서,	위하/VV+아서/EC+,/SP
위에서	위/NNG+에서/JKB
든	들/VV+ㄴ/ETM
시구에서	시구/NNG+에서/JKB
사의	사/NR+의/JKG
공간적	공간/NNG+적/XSN
인식의	인식/NNG+의/JKG
방법을	방법/NNG+을/JKO
말한	말/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
짝을	짝/NNG+을/JKO
맞추어	맞추/VV+어/EC
시간적	시간/NNG+적/XSN
인식에	인식/NNG+에/JKB
관해서도	관하/VV+아서/EC+도/JX
다음과	다음/NNG+과/JKB
같이	같이/MAG
노래했다.	노래/NNG+하/XSV+았/EP+다/EF+./SF

한국인이	한국인/NNG+이/JKS
{춘향전}에	{/SS+춘향전/NNP+}/SS+에/JKB
심취되는	심취/NNG+되/XSV+는/ETM
이유를	이유/NNG+를/JKO
그렇게	그렇/VA+게/EC
간단히	간단히/MAG
설명할	설명/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF

수사상황을	수사/NNG+상황/NNG+을/JKO
공개했다고	공개/NNG+하/XSV+았/EP+다고/EC
다	다/MAG
처벌대상이	처벌/NNG+대상/NNG+이/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF

공사	공사/NNG
재개까지는	재개/NNG+까지/JX+는/JX
얼마나	얼마나/MAG
더	더/MAG
걸릴지	걸리/VV+ㄹ지/EC
어림을	어림/NNG+을/JKO
못한다.	못하/VX+ㄴ다/EF+./SF

―헤르만	―/SS+헤르만/NNP
헤세	헤세/NNP
산문집,	산문집/NNG+,/SP
「나무들」에서	「/SS+나무/NNG+들/XSN+」/SS+에서/JKB
사랑은	사랑/NNG+은/JX
길이며	길/NNG+이/VCP+며/EC
동시에	동시/NNG+에/JKB
벽이다.	벽/NNG+이/VCP+다/EF+./SF

그러나	그러나/MAJ
그것이	그것/NP+이/JKS
만성화되면	만성/NNG+화/XSN+되/XSV+면/EC
과대평가의	과대평가/NNG+의/JKG
논리가	논리/NNG+가/JKS
적용되게	적용/NNG+되/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF

상당한	상당/NNG+하/XSA+ㄴ/ETM
수위의	수위/NNG+의/JKG
위험을	위험/NNG+을/JKO
감지하고는	감지/NNG+하/XSV+고/EC+는/JX
조금도	조금/NNG+도/JX
누나	누나/NNG
같지	같/VA+지/EC
않은	않/VX+은/ETM
강신애를	강신애/NNP+를/JKO
'신애	'/SS+신애/NNG
누나'로	누나/NNG+'/SS+로/JKB
명토박아	명토/NNG+박/VV+아/EC
부르기	부르/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
바로	바로/MAG
그	그/MM
즈음의	즈음/NNB+의/JKG
일이다.	일/NNG+이/VCP+다/EF+./SF

단	단/MAJ
이	이/MM
말은	말/NNG+은/JX
먼저	먼저/MAG
해야겠지만.	하/VV+아야/EC+하/VX+겠/EP+지만/EF+./SF

최종수요	최종/NNG+수요/NNG
10억원당	10/SN+억/NR+원/NNB+당/XSN
유발되는	유발/NNG+되/XSV+는/ETM
취업자를	취업자/NNG+를/JKO
나타내는	나타내/VV+는/ETM
就業誘發係數는	就業誘發係數/SH+는/JX
34로	34/SN+로/JKB
90년(67)보다	90/SN+년/NNB+(/SS+67/SN+)/SS+보다/JKB
크게	크/VA+게/EC
낮아졌는데,	낮/VA+아/EC+지/VX+었/EP+는데/EC+,/SP
소비에	소비/NNG+에/JKB
의해	의하/VV+아/EC
40명,	40/SN+명/NNB+,/SP
투자에	투자/NNG+에/JKB
의해	의하/VV+아/EC
27명,	27/SN+명/NNB+,/SP
그리고	그리고/MAJ
수출에	수출/NNG+에/JKB
의해	의하/VV+아/EC
31명의	31/SN+명/NNB+의/JKG
취업자가	취업자/NNG+가/JKS
각각	각각/MAG
유발되는	유발/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF

장	장/NNP
지도원도	지도원/NNG+도/JX
나를	나/NP+를/JKO
만나자	만나/VV+자/EC
집	집/NNG
나갔다	나가/VV+았/EP+다/EC
돌아온	돌아오/VV+ㄴ/ETM
딸을	딸/NNG+을/JKO
맞이하듯	맞이/XR+하/XSV+듯/EC
반가워하면서,	반가워하/VV+면서/EC+,/SP
"오느라고	"/SS+오/VV+느라고/EC
수고가	수고/NNG+가/JKS
많았소.	많/VA+았/EP+소/EF+./SF

독실에	독실/NNG+에/JKB
들어가지	들어가/VV+지/EC
않고	않/VX+고/EC
책만	책/NNG+만/JX
대출해	대출/NNG+하/XSV+아/EC
가는	가/VV+는/ETM
특별	특별/XR
회원제를	회원/NNG+제/XSN+를/JKO
신설,	신설/NNG+,/SP
가정에	가정/NNG+에/JKB
신간	신간/NNG
서적을	서적/NNG+을/JKO
빌려	빌리/VV+어/EC
주는	주/VX+는/ETM
서비스를	서비스/NNG+를/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF

그리고	그리고/MAJ
회갑을	회갑/NNG+을/JKO
맞는	맞/VV+는/ETM
사람은	사람/NNG+은/JX
부모가	부모/NNG+가/JKS
생존하고	생존/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
때에는,	때/NNG+에/JKB+는/JX+,/SP
색동옷을	색동옷/NNG+을/JKO
입고	입/VV+고/EC
절을	절/NNG+을/JKO
하고	하/VV+고/EC
어린애처럼	어린애/NNG+처럼/JKB
기어다니며	기/VV+어/EC+다니/VV+며/EC
재롱을	재롱/NNG+을/JKO
떨기도	떨/VV+기/ETN+도/JX
하였다.	하/VX+았/EP+다/EF+./SF

혹은	혹은/MAJ
그	그/MM
귀신에게	귀신/NNG+에게/JKB
아부하여	아부/NNG+하/XSV+아/EC
혜택을	혜택/NNG+을/JKO
기대하기	기대/NNG+하/XSV+기/ETN
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
하였다.	하/VX+았/EP+다/EF+./SF

일상적	일상/NNG+적/XSN
삶에	삶/NNG+에/JKB
중요한	중요/XR+하/XSA+ㄴ/ETM
변화가	변화/NNG+가/JKS
일어나자,	일어나/VV+자/EC+,/SP
그것을	그것/NP+을/JKO
깊은	깊/VA+은/ETM
철학적	철학/NNG+적/XSN
안목으로	안목/NNG+으로/JKB
진지하게	진지/XR+하/XSA+게/EC
따져	따지/VV+어/EC
보려	보/VX+려/EC
한	하/VX+ㄴ/ETM
{구운몽}은,	{/SS+구운몽/NNP+}/SS+은/JX+,/SP
말하자면	말/NNG+하/XSV+자면/EC
일종의	일종/NNG+의/JKG
'방법적	'/SS+방법/NNG+적/XSN
회의'를	회의/NNG+'/SS+를/JKO
거친	거치/VV+ㄴ/ETM
소설적	소설/NNG+적/XSN
결과물이었던	결과물/NNG+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF

여자	여자/NNG
대기실	대기실/NNG
안은	안/NNG+은/JX
온돌방으로	온돌방/NNG+으로/JKB
되어	되/VV+어/EC
있었는데	있/VX+었/EP+는데/EC
방	방/NNG
윗목에는	윗목/NNG+에/JKB+는/JX
여자	여자/NNG
대학생	대학/NNG+생/XSN
몇	몇/MM
명이	명/NNB+이/JKS
정신없이	정신없이/MAG
곯아떨어져	곯아떨어지/VV+어/EC
자고	자/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF

학과정치(學科定置)가	학과/NNG+정치/NNG+(/SS+學科定置/SH+)/SS+가/JKS
대학생활의	대학/NNG+생활/NNG+의/JKG
성패를	성패/NNG+를/JKO
좌우하는	좌우/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
학과를	학과/NNG+를/JKO
올바르게	올바르/VA+게/EC
정하는	정하/VV+는/ETM
일은	일/NNG+은/JX
대학	대학/NNG
4년	4/SN+년/NNB
동안의	동안/NNG+의/JKG
수학	수학/NNG
뿐	뿐/NNB
아니라	아니/VCN+라/EC
졸업	졸업/NNG
후의	후/NNG+의/JKG
진로개척에도	진로/NNG+개척/NNG+에/JKB+도/JX
중요한	중요/XR+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
것이므로	것/NNB+이/VCP+므로/EC
여러가지	여러/MM+가지/NNB
상황을	상황/NNG+을/JKO
종합해서	종합/NNG+하/XSV+아서/EC
신중을	신중/NNG+을/JKO
기해야만	기하/VV+아야/EC+만/JX
하는	하/VX+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF

생지옥보다	생/XPN+지옥/NNG+보다/JKB
더한	더하/VA+ㄴ/ETM
북한	북한/NNP
교화소가	교화소/NNG+가/JKS
인권	인권/NNG
실태를	실태/NNG+를/JKO
국제적으로	국제/NNG+적/XSN+으로/JKB
힘을	힘/NNG+을/JKO
모아	모으/VV+아/EC
고발해야	고발/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF

그러면서도	그러면서/MAJ+도/JX
우스운	우습/VA+ㄴ/ETM
것은	것/NNB+은/JX
중국에서도	중국/NNP+에서/JKB+도/JX
왕족만	왕족/NNG+만/JX
썼다는	쓰/VV+었/EP+다는/ETM
봉분을	봉분/NNG+을/JKO
되도록	되/VV+도록/EC
크게	크/VA+게/EC
쓰려는	쓰/VV+려는/ETM
데에는	데/NNB+에/JKB+는/JX
거의	거의/MAG
공통적인	공통/NNG+적/XSN+이/VCP+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF

고구마의	고구마/NNG+의/JKG
성분에	성분/NNG+에/JKB
노화와	노화/NNG+와/JC
암	암/NNG
발생을	발생/NNG+을/JKO
재촉하는	재촉/NNG+하/XSV+는/ETM
활성	활성/NNG
산소를	산소/NNG+를/JKO
무력화시키는	무력/NNG+화/XSN+시키/XSV+는/ETM
강력한	강력/XR+하/XSA+ㄴ/ETM
항산화(抗酸化)	항산/NNG+화/XSN+(/SS+抗酸化/SH+)/SS
작용이	작용/NNG+이/JKS
입증되고	입증/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
또	또/MAJ
일상적으로	일상/NNG+적/XSN+으로/JKB
먹는	먹/VV+는/ETM
음식	음식/NNG
28	28/SN
가지	가지/NNB
가운데	가운데/NNG
가장	가장/MAG
콜레스테롤치를	콜레스테롤/NNG+치/XSN+를/JKO
낮추는	낮추/VV+는/ETM
식품으로	식품/NNG+으로/JKB
입증되고	입증/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF

그러나	그러나/MAJ
사학의	사학/NNG+의/JKG
학생들은	학생/NNG+들/XSN+은/JX
대개가	대개/NNG+가/JKS
경자제(京子弟)로서	경자제/NNG+(/SS+京子弟/SH+)/SS+로서/JKB
오만하여	오만/NNG+하/XSA+아/EC
스승과	스승/NNG+과/JC
나이든	나이/NNG+들/VV+ㄴ/ETM
어른에	어른/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
존경심이	존경심/NNG+이/JKS
부족했고	부족/NNG+점/NNG+하/XSA+았/EP+고/EC
특히	특히/MAG
향교는	향교/NNG+는/JX
서원의	서원/NNG+의/JKG
창설	창설/NNG
이후	이후/NNG
임	임/NNG
·	·/SP
병	병/NNG
·	·/SP
양란을	양/MM+란/NNG+을/JKO
거치면서	거치/VV+면서/EC
쇠퇴·부진하였다.	쇠퇴/NNG+·/SP+부진/NNG+하/XSV+았/EP+다/EF+./SF

자	자/IC
쉬운	쉽/VA+ㄴ/ETM
동작부터	동작/NNG+부터/JX
하나씩	하나/NR+씩/XSN
따라	따르/VV+아/EC
하세요."	하/VX+시/EP+어요/EF+./SF+"/SS
훈련	훈련/NNG
조교의	조교/NNG+의/JKG
말에	말/NNG+에/JKB
정신	정신/NNG
지체	지체/NNG
장애인	장애인/NNG
훈련생들은	훈련/NNG+생/XSN+들/XSN+은/JX
"예"	"/SS+예/IC+"/SS
하고	하/VV+고/EC
대답했으나	대답/NNG+하/XSV+았/EP+으나/EC
좀처럼	좀처럼/MAG
동작이	동작/NNG+이/JKS
맞지	맞/VV+지/EC
않는다.	않/VX+는다/EF+./SF

그	그/MM
말은	말/NNG+은/JX
꼭	꼭/MAG
넌	너/NP+ㄴ/JX
호적에	호적/NNG+에/JKB
올라갈	올라가/VV+ㄹ/ETM
여자가	여자/NNG+가/JKC
되어야	되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
말로	말/NNG+로/JKB
들렸다.	들리/VV+었/EP+다/EF+./SF

단장이	단장/NNG+이/JKS
영애를	영애/NNP+를/JKO
곁에	곁/NNG+에/JKB
세우고는	세우/VV+고/EC+는/JX
단원들에게	단원/NNG+들/XSN+에게/JKB
모이라고	모이/VV+라고/EC
했다.	하/VV+았/EP+다/EF+./SF

국내	국내/NNG
최대의	최대/NNG+의/JKG
화장품회사가	화장품/NNG+회사/NNG+가/JKS
이	이/MM
행사의	행사/NNG+의/JKG
주최자인	주최자/NNG+이/VCP+ㄴ/ETM
데서도	데/NNB+서/JKB+도/JX
상업성은	상업/NNG+성/XSN+은/JX
드러난다.	드러나/VV+ㄴ다/EF+./SF

더구나	더구나/MAJ
신한국당을	신한국당/NNP+을/JKO
비롯,	비롯/XR+,/SP
국민회의·민주당이	국민회의/NNP+·/SP+민주당/NNP+이/JKS
모두	모두/MAG
개혁성향을	개혁/NNG+성향/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
반면	반면/NNG
자민련만이	자민련/NNP+만/JX+이/JKS
보수노선을	보수/NNG+노선/NNG+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
구도도	구도/NNG+도/JX
여당에	여당/NNG+에/JKB
불리한	불리/XR+하/XSA+ㄴ/ETM
조건들입니다.	조건/NNG+들/XSN+이/VCP+ㅂ니다/EF+./SF

다음날	다음날/NNG
놀러	놀/VV+러/EC
갈	가/VV+ㄹ/ETM
계획	계획/NNG
때문에	때문/NNB+에/JKB
애인에게서	애인/NNG+에게서/JKB
전화	전화/NNG
올	오/VV+ㄹ/ETM
시간이	시간/NNG+이/JKS
거의	거의/MAG
다	다/MAG
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF

그녀는	그녀/NP+는/JX
그럴	그러/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
고개를	고개/NNG+를/JKO
저어요.	젓/VV+어요/EF+./SF

그래서	그래서/MAJ
고기를	고기/NNG+를/JKO
요리하거나	요리/NNG+하/XSV+거나/EC
먹을	먹/VV+을/ETM
때	때/NNG
흰	희/VA+ㄴ/ETM
포도주가	포도주/NNG+가/JKS
나오는	나오/VV+는/ETM
법	법/NNB
없고	없/VA+고/EC
생선이나	생선/NNG+이나/JC
굴	굴/NNG
같은	같/VA+은/ETM
해산물을	해산물/NNG+을/JKO
요리하거나	요리/NNG+하/XSV+거나/EC
먹을	먹/VV+을/ETM
때	때/NNG
붉은	붉/VA+은/ETM
포도주	포도주/NNG
마시는	마시/VV+는/ETM
법이	법/NNB+이/JKS
없어.	없/VA+어/EF+./SF

길녀의	길녀/NNP+의/JKG
얼굴도	얼굴/NNG+도/JX
처음모양	처음/NNG+모양/NNG
그렇게	그렇/VA+게/EC
달아오르는	달아오르/VV+는/ETM
것	것/NNB
같진	같/VA+지/EC+ㄴ/JX
않았다.	않/VX+았/EP+다/EF+./SF

사흘을	사흘/NNG+을/JKO
머물렀지만	머무르/VV+었/EP+지만/EC
절에서는	절/NNG+에서/JKB+는/JX
자지	자/VV+지/EC
못하고	못하/VX+고/EC
절	절/NNG
앞의	앞/NNG+의/JKG
수덕여관에서	수덕/NNP+여관/NNG+에서/JKB
지냈다.	지내/VV+었/EP+다/EF+./SF
